"Bill of Material for "
"On 12/15/2012 at 4:07:09 PM"

"Comment","Pattern","Quantity","Components"

"1","R 0805 (2012) RESISTOR","1","R3","Resistor"
"100nF","0805 (2012) Capacitor","3","C4, C4, C5","Capacitor"
"15K","R 0805 (2012) RESISTOR","1","R1","Resistor"
"1KOhm","R 0805 (2012) RESISTOR","4","R4, R5, R6, R7","Resistor"
"27","R 0805 (2012) RESISTOR","1","R2","Resistor"
"4.7K Ohm","R 0805 (2012) RESISTOR","2","R8, R9","Resistor"
"Atmega1280","TSQFP50P1600X1600X120-100N","1","U5",""
"Cap","0805 (2012) Capacitor","5","C1, C2, C3, C6, C8","Capacitor"
"Comment","0805 (2012) Capacitor","4","C5, C6, C7, C11",""
"Comment","5645235-3 CON","1","+5V",""
"Comment","HDR2X15H","1","ADC 0",""
"Comment","HDR2X2H","3","I2C, UART1, UART2",""
"Comment","R 0805 (2012) RESISTOR","2","R10, R3000",""
"Comment","SOP254P1740X1413-8N","1","IntPre",""
"ECS-160-20-5P","CSM-7","1","Y1","Crystal Oscillator"
"FT232RL","SOP65P780X200-28N","1","U6",""
"IT-2175","IT-2175","1","UC_RESET1","Tactile Switch, DPST; Thru-Hole; Vertical; Rating DC 12V, 50mA (max)"
"JTAG Header","HDR2X3","1","JTAG1","Header, 3-Pin, Dual row"
"LED","LED 0805","2","LED1, LED2","Standard LED"
